No,Benchmark,InputData,ID,Kernel,DRAM Frequency,SM Frequency,Elapsed Cycles,Memory [%],SOL DRAM,Duration,SOL L1/TEX Cache,SOL L2 Cache,SM Active Cycles,SM [%],Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Driver Shared Memory Per Block,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Theoretical Active Warps per SM,Theoretical Occupancy,Achieved Occupancy,Achieved Active Warps Per SM
49,lud,1024,48,lud_diagonal,805555555.56,1204427083.33,18039,0.1,0.01,14976,9.42,0.05,187.44,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
50,lud,1024,49,lud_perimeter,443620178.04,664085682.49,7164,2.71,1.95,10784,8.7,1.74,2233.49,2.22,32,46,81,65536,0,0,3072,1472,0.03,32,20,32,64,20,31.25,1.56,1.0
51,lud,1024,50,lud_internal,798994974.87,1173654731.99,15007,55.99,22.12,12736,73.89,27.67,11325.95,42.47,256,2116,30,16384,0,0,2048,541696,3.31,32,8,48,8,64,100.0,77.52,49.61
52,lud,1024,51,lud_diagonal,805732484.08,1203644727.53,18144,0.1,0.01,15072,9.4,0.05,187.71,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
53,lud,1024,52,lud_perimeter,464120370.37,693721064.81,7196,2.64,1.89,10368,8.98,1.7,2110.68,2.17,32,45,81,65536,0,0,3072,1440,0.03,32,20,32,64,20,31.25,1.56,1.0
54,lud,1024,53,lud_internal,796954314.72,1172298011.84,14832,54.09,21.37,12608,68.53,26.5,11665.71,41.1,256,2025,30,16384,0,0,2048,518400,3.16,32,8,48,8,64,100.0,78.2,50.05
55,lud,1024,54,lud_diagonal,807939914.16,1209786301.86,18043,0.1,0.01,14912,9.36,0.05,188.5,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
56,lud,1024,55,lud_perimeter,462949101.8,691398453.09,7394,2.52,1.8,10688,8.94,1.64,2078.45,2.06,32,44,81,65536,0,0,3072,1408,0.03,32,20,32,64,20,31.25,1.56,1.0
57,lud,1024,56,lud_internal,808823529.41,1190716911.76,14290,53.75,21.08,11968,70.53,26.67,10859.89,40.76,256,1936,30,16384,0,0,2048,495616,3.02,32,8,48,8,64,100.0,76.86,49.19
58,lud,1024,57,lud_diagonal,810085836.91,1210479256.08,18052,0.1,0.01,14912,9.41,0.05,187.38,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
59,lud,1024,58,lud_perimeter,465568862.28,695593188.62,7438,2.44,1.75,10688,9.01,1.6,2011.38,2.0,32,43,81,65536,0,0,3072,1376,0.03,32,20,32,64,20,31.25,1.56,1.0
60,lud,1024,59,lud_internal,816216216.22,1199028716.22,14238,51.65,20.2,11840,73.69,25.62,9951.0,39.07,256,1849,30,16384,0,0,2048,473344,2.89,32,8,48,8,64,100.0,75.16,48.1
61,lud,1024,60,lud_diagonal,804904051.17,1202514214.64,18050,0.1,0.01,15008,9.27,0.05,190.35,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
62,lud,1024,61,lud_perimeter,469135802.47,699636702.67,7259,2.45,1.75,10368,8.98,1.62,1975.86,2.0,32,42,81,65536,0,0,3072,1344,0.03,32,20,32,64,20,31.25,1.56,1.0
63,lud,1024,62,lud_internal,851694915.25,1256032250.47,14255,48.94,19.2,11328,73.16,24.46,9517.92,37.19,256,1764,30,16384,0,0,2048,451584,2.76,32,8,48,8,64,100.0,76.06,48.68
64,lud,1024,63,lud_diagonal,793067226.89,1185049019.61,18052,0.1,0.01,15232,9.4,0.05,187.62,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
65,lud,1024,64,lud_perimeter,475308641.98,707272376.54,7337,2.36,1.69,10368,8.66,1.57,1993.94,1.94,32,41,81,65536,0,0,3072,1312,0.03,32,20,32,64,20,31.25,1.56,1.0
66,lud,1024,65,lud_internal,854838709.68,1259530791.79,13778,48.26,18.92,10912,69.75,23.95,9510.14,36.69,256,1681,30,16384,0,0,2048,430336,2.63,32,8,48,8,64,100.0,75.46,48.3
67,lud,1024,66,lud_diagonal,806209850.11,1207742237.69,18050,0.1,0.01,14944,9.4,0.05,187.76,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
68,lud,1024,67,lud_perimeter,460526315.79,687951496.39,7115,2.38,1.7,10336,8.99,1.6,1879.12,1.95,32,40,81,65536,0,0,3072,1280,0.03,32,20,32,64,20,31.25,1.56,1.0
69,lud,1024,68,lud_internal,828703703.7,1218750000.0,12669,50.0,19.55,10368,75.57,23.5,8359.69,37.99,256,1600,30,16384,0,0,2048,409600,2.5,32,8,48,8,64,100.0,74.54,47.71
70,lud,1024,69,lud_diagonal,810085836.91,1211786927.75,18074,0.1,0.01,14912,9.39,0.05,187.82,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
71,lud,1024,70,lud_perimeter,473926380.37,708301380.37,7394,2.22,1.6,10432,9.03,1.51,1819.83,1.83,32,39,81,65536,0,0,3072,1248,0.02,32,20,32,64,20,31.25,1.56,1.0
72,lud,1024,71,lud_internal,773993808.05,1136222910.22,11776,51.29,19.99,10336,69.08,25.79,8718.59,38.86,256,1521,30,16384,0,0,2048,389376,2.38,32,8,48,8,64,100.0,73.9,47.3
73,lud,1024,72,lud_diagonal,811158798.28,1212189288.27,18080,0.1,0.01,14912,9.4,0.05,187.74,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
74,lud,1024,73,lud_perimeter,466463414.63,697186229.67,7321,2.19,1.58,10496,9.0,1.49,1783.7,1.8,32,38,81,65536,0,0,3072,1216,0.02,32,20,32,64,20,31.25,1.56,1.0
75,lud,1024,74,lud_internal,753822629.97,1108323776.76,11633,49.06,19.27,10464,70.14,24.88,8111.99,37.35,256,1444,30,16384,0,0,2048,369664,2.26,32,8,48,8,64,100.0,73.43,46.99
76,lud,1024,75,lud_diagonal,802478902.95,1199454992.97,18195,0.1,0.01,15168,9.4,0.05,187.56,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
77,lud,1024,76,lud_perimeter,461538461.54,688116370.81,7447,2.09,1.51,10816,9.04,1.44,1723.9,1.72,32,37,81,65536,0,0,3072,1184,0.02,32,20,32,64,20,31.25,1.56,1.0
78,lud,1024,77,lud_internal,777089783.28,1143866099.07,11848,45.58,17.97,10336,68.03,23.25,7921.52,34.74,256,1369,30,16384,0,0,2048,350464,2.14,32,8,48,8,64,100.0,72.5,46.4
79,lud,1024,78,lud_diagonal,807939914.16,1209506884.84,18040,0.1,0.01,14912,9.4,0.05,187.7,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
80,lud,1024,79,lud_perimeter,442477876.11,659630039.33,7159,2.13,1.52,10848,9.1,1.46,1672.03,1.74,32,36,81,65536,0,0,3072,1152,0.02,32,20,32,64,20,31.25,1.56,1.0
81,lud,1024,80,lud_internal,787974683.54,1158738792.19,11742,43.64,17.17,10112,64.84,22.04,7885.5,33.18,256,1296,30,16384,0,0,2048,331776,2.02,32,8,48,8,64,100.0,72.61,46.47
82,lud,1024,81,lud_diagonal,805555555.56,1204805466.52,18046,0.1,0.01,14976,9.4,0.05,187.7,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
83,lud,1024,82,lud_perimeter,449386503.07,673456671.78,7030,2.1,1.52,10432,8.77,1.45,1680.89,1.72,32,35,81,65536,0,0,3072,1120,0.02,32,20,32,64,20,31.25,1.56,1.0
84,lud,1024,83,lud_internal,817725752.51,1209779124.86,11597,41.53,16.55,9568,65.1,21.0,7384.4,31.75,256,1225,30,16384,0,0,2048,313600,1.91,32,8,48,8,64,100.0,68.43,43.79
85,lud,1024,84,lud_diagonal,802771855.01,1202580845.77,18051,0.1,0.01,15008,9.41,0.05,187.6,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
86,lud,1024,85,lud_perimeter,460244648.32,689538735.98,7219,1.99,1.44,10464,8.98,1.39,1599.39,1.63,32,34,81,65536,0,0,3072,1088,0.02,32,20,32,64,20,31.25,1.56,1.0
87,lud,1024,86,lud_internal,812068965.52,1197108477.01,11137,41.04,16.24,9280,66.5,20.98,6856.11,31.22,256,1156,30,16384,0,0,2048,295936,1.81,32,8,48,8,64,100.0,69.18,44.28
88,lud,1024,87,lud_diagonal,809012875.54,1209059817.6,18036,0.1,0.01,14912,9.41,0.05,187.41,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
89,lud,1024,88,lud_perimeter,465384615.38,696666666.67,7249,1.92,1.39,10400,8.97,1.35,1549.31,1.58,32,33,81,65536,0,0,3072,1056,0.02,32,20,32,64,20,31.25,1.56,1.0
90,lud,1024,89,lud_internal,789752650.18,1167089958.78,10597,40.48,16.15,9056,64.78,20.91,6604.23,30.91,256,1089,30,16384,0,0,2048,278784,1.7,32,8,48,8,64,100.0,67.81,43.4
91,lud,1024,90,lud_diagonal,795983086.68,1191067653.28,18030,0.1,0.01,15136,9.42,0.05,187.3,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
92,lud,1024,91,lud_perimeter,464831804.28,695893858.31,7287,1.86,1.34,10464,8.76,1.31,1542.81,1.52,32,32,81,65536,0,0,3072,1024,0.02,32,20,32,64,20,31.25,1.56,1.0
93,lud,1024,92,lud_internal,799618320.61,1180263994.91,9913,40.68,16.23,8384,66.04,18.94,6094.8,31.05,256,1024,30,16384,0,0,2048,262144,1.6,32,8,48,8,64,100.0,67.52,43.21
94,lud,1024,93,lud_diagonal,805021367.52,1204816595.44,18045,0.1,0.01,14976,9.41,0.05,187.45,0.06,16,1,32,32768,0,0,1024,16,0.0,32,64,96,64,32,50.0,1.56,1.0
95,lud,1024,94,lud_perimeter,455060422.96,681205941.59,7220,1.81,1.31,10592,9.0,1.25,1451.58,1.49,32,31,81,65536,0,0,3072,992,0.02,32,20,32,64,20,31.25,1.56,1.0
96,lud,1024,95,lud_internal,795112781.95,1175399436.09,10024,37.67,15.12,8512,64.12,19.66,5877.49,28.82,256,961,30,16384,0,0,2048,246016,1.5,32,8,48,8,64,100.0,68.16,43.63
